Athens_001 最近治安需要整理。作为这个城市一员的你，一定要好好加油啊！
Athens_002 嘿，你来干什么？
Athens_003 找我什么事？我在巡逻。
Athens_004 你想吃我做的点心吗……
Athens_005 你好。找我有事吗？不过我现在很忙。
Athens_006 这整个世间的起源应该的是一个点，不知道你发现了没有？
Athens_007 我要成为像我老师一样伟大的人物。
Athens_008 艺术无国界。你能感受得到吗？
Athens_009 雅典是一座自由与民主的城市。
Athens_010 嘻嘻，你好啊。以前好象没有见过你啊。要来点葡萄酒吗？
Athens_011 奥林匹斯众神在护佑着你。
Athens_012 呕，不，我都不敢出村子卖东西了。
Athens_013 你有发现过宝物吗，有线索一定请告诉我哦！
Athens_014 呃，你有见过我吗？你是新来的吧……
Athens_015 嚯嚯。别碰我！
Athens_016 当你决定要去一座迷宫，最好带上足够的毛线。
Athens_017 你喜欢众神中的哪一位？
Athens_018 诶呀。跑路是一件很累的事情。
Athens_019 赫赫，雅典真是个好地方……据说西南方向的斯巴达也有很多美女。不过最近雅典在与斯巴达交战。
Athens_020 一个勇者，除了有强健的体魄，还需要拥有智慧，更重要的，是决心。
Athens_021 你好。需要些什么武器？
Athens_022 为了保持体力，需要携带足够的药水。我这里有许多类型任你选择。
Athens_023 唷，你好哇。各种防具，应有尽有。有效提高防御力，千万不要错过咯！
Athens_024 饰品的佩戴也是很有意义的。
Athens_025 你要组建合法的公会组织吗？
Athens_026 你要储存物品吗？
Sparta_001 最近治安需要整理。作为这个城市一员的你，一定要好好加油啊！
Sparta_002 嘿，你来干什么？
Sparta_003 找我什么事？我在巡逻。
Sparta_004 你想听我作的曲子吗……
Sparta_005 你好。找我有事吗？不过我现在很忙。
Sparta_006 这整个世间如果没有法规来制衡就会变得很糟糕，不知道你发现了没有？
Sparta_007 我要成为像我老师一样伟大的人物。
Sparta_008 技术无国界。你能感受得到吗？
Sparta_009 斯巴达是一座历史悠久的城市。
Sparta_010 嘻嘻，你好啊。以前好象没有见过你啊。要来点葡萄酒吗？
Sparta_011 奥林匹斯众神在护佑着你。
Sparta_012 呕，不，我都不敢出村子卖东西了。
Sparta_013 你有发现过宝物吗，有线索一定请告诉我哦！
Sparta_014 呃，你有见过我吗？你是新来的吧……
Sparta_015 嚯嚯。别碰我！
Sparta_016 当你决定要去喜欢一个人，千万不要让其逃走。
Sparta_017 你喜欢众神中的哪一位？
Sparta_018 诶呀。跑路是一件很累的事情。
Sparta_019 赫赫，斯巴达真是个好地方……据说东北方向的雅典也有很多美女。不过最近斯巴达在与雅典交战。
